codigo,nombre,pbi_2022,region_id
MYS,MALASIA,11993.1876132994,3
NGA,REPÚBLICA  FEDERAL  DE  NIGERIA,2162.63373428577,4
NIC,REPÚBLICA  DE  NICARAGUA,2255.42599496242,7
NLD,REINO  DE  LOS  PAÍSES  BAJOS,57025.01245598,2
NOR,REINO  DE  NORUEGA,106177.197179078,2
NZL,NUEVA  ZELANDIA,48418.5916631992,5
PAK,REPÚBLICA  ISLÁMICA  DE  PAKISTÁN,1588.8798287911,3
PAN,REPÚBLICA  DE  PANAMÁ,17357.628633794,7
PER,REPÚBLICA  DEL  PERÚ,7125.82993135746,0
PHL,REPÚBLICA  DE  FILIPINAS,3498.5098055874,3
POL,REPÚBLICA  DE  POLONIA,18688.0044867103,8
PRT,REPÚBLICA  PORTUGUESA,24515.2658507319,2
PRY,REPÚBLICA  DEL  PARAGUAY,6153.05565720044,0
PSE,ESTADO  DE  PALESTINA,3789.32796575153,3
QAT,ESTADO  DE  QATAR,87661.4501457275,3
ROU,RUMANIA,15786.8017421977,8
RUS,FEDERACIÓN  DE  RUSIA,15270.7060546875,8
SAU,REINO  DE  ARABIA  SAUDITA,30447.8837074473,3
SEN,REPÚBLICA  DE  SENEGAL,1598.72643336012,4
SGP,REPÚBLICA  DE  SINGAPUR,82807.6290622897,3
SLV,REPÚBLICA  DE  EL  SALVADOR,5127.32166823012,7
SRB,REPÚBLICA  DE  SERBIA,9537.68286673128,8
SUR,REPÚBLICA  DE  SURINAME,5858.82466074423,0
SWE,REINO  DE  SUECIA,56373.7885792007,2
THA,REINO  DE  TAILANDIA,6909.9562847948,3
TTO,REPÚBLICA  DE  TRINIDAD  Y  TOBAGO,19629.4653400829,7
TUN,REPÚBLICA  TUNECINA,3747.41939149283,6
TUR,REPÚBLICA  DE  TÜRKIYE,10674.5041731531,2
UKR,UCRANIA,4533.9755859375,8
URY,REPÚBLICA  ORIENTAL  DEL  URUGUAY,20795.0423535553,0
USA,ESTADOS  UNIDOS  DE  AMÉRICA,76329.5822652029,1
VNM,REPÚBLICA  SOCIALISTA  DE  VIETNAM,4163.51429874522,3
ZAF,REPÚBLICA  DE  SUDÁFRICA,6766.48125429478,4
